INPUT 1,INPUT 2,INPUT 3,INPUT 4,INPUT 5,INPUT 6,INPUT 7,INPUT 8,OUTPUT 1
0.6575303,-0.0824848,-1.1795889,1.9137101,1.3787405,-3.0421968,-0.9095483,-0.7200956,6.0
-0.36083928,0.8150972,-0.46718627,3.1075828,-0.6515199,0.5422498,0.5795008,0.032260474,6.0
-0.24828641,-0.4352749,0.48996302,-1.5904458,-0.14192012,-2.11917,-1.7820034,-0.8938906,5.0
-1.377982,1.8655736,-1.7975318,1.8988075,-0.9272742,0.21608025,-1.6530951,0.6329659,4.0
7.4074225,-0.42462468,2.6837034,0.1753707,-1.7322352,1.0546014,1.4531858,-0.7444558,0.0
-1.0126315,2.3222215,-2.1158566,0.6096729,-1.9416841,-0.09813386,-0.74031657,2.133247,7.0
0.8822622,3.4550505,-0.7095084,1.0475672,0.85263145,-0.5889364,-2.8019001,-0.34489316,4.0
4.423633,-1.392138,-0.7210113,-1.2867651,0.02572158,-0.20268099,0.4278347,-0.37955925,0.0
-3.0009897,-0.60445,-0.4232474,0.36041364,-1.673069,-1.737223,0.9785064,-0.8085072,1.0
-0.6991734,-1.0281446,-2.1528168,-2.0146375,-0.055340044,-1.9006841,1.4227229,1.8392001,3.0
-2.9403806,-0.057926834,-1.0516679,0.46934736,-1.807488,-1.6255363,0.22649026,-0.24390076,1.0
-0.26447403,-1.2214814,-4.211136,-0.4777797,0.44897664,-2.2259934,-0.6042154,0.35559368,3.0
1.843342,1.0183237,0.8361007,3.6433587,-2.766898,-0.2081258,-0.49405044,-2.1245174,4.0
-1.0797347,1.0265682,1.9648404,-1.4624679,0.40605092,3.9600976,0.8772974,0.10120006,7.0
1.6306365,-1.6686025,0.87079626,2.07554,-0.7135668,1.7418358,0.32704002,1.6796758,2.0
-0.5480069,2.7096014,-1.4352535,-0.24217369,-0.7548382,0.9025348,1.9465098,1.6547842,7.0
-3.4102821,-0.5226084,-0.29814515,0.028467998,-1.5312419,-1.6134882,1.3462112,-1.236588,1.0
-0.3721857,-3.1471143,-1.1124762,0.9550476,-1.1493471,-0.57787347,0.8023374,-0.10772073,2.0
-3.5677361,-2.1640806,0.34927285,-0.55921376,-0.7312602,-1.3118104,1.803016,-1.0932825,1.0
-3.3999777,-0.7385999,-0.29018623,1.1666715,-2.725113,-0.69239616,-0.02275645,-0.6985157,1.0
-1.6524698,2.3964157,-0.7526077,-0.3277337,-1.0947115,0.41377902,1.6356567,0.64242935,7.0
-1.608616,2.733178,-1.3932841,0.35181245,1.7339036,1.6551446,-1.1368153,0.297963,4.0
-1.960628,-1.5358183,0.534045,2.2806227,-1.1721209,0.042224906,-1.368938,0.34556907,2.0
-1.6725128,-0.96849877,-0.51165205,-0.2758676,-0.35388377,-2.1758661,1.2399361,1.5731279,3.0
0.351411,-1.6015363,-1.2069404,-1.3985922,-0.005264785,-2.1894412,-2.1603036,0.5047347,5.0
-1.8177637,0.02711147,-1.9447725,0.578039,-0.0052358806,-1.8911457,0.6054496,0.25507027,1.0
-1.8440527,0.048754863,0.7820372,2.3899436,-0.13452016,0.604926,-0.62778634,0.7559587,2.0
2.1863708,4.0459924,-2.3695931,-0.9788383,3.1664944,0.23502046,-2.0914135,0.17673637,4.0
0.83721685,2.9306924,-1.0412236,3.0240932,0.18710569,1.5057193,-2.2771497,1.6310339,4.0
-0.033965137,-0.8628255,0.72780037,0.9763522,0.2603031,-3.5883083,-0.5790014,1.5254443,6.0
1.7130857,-1.3606994,-3.5346887,0.15566745,0.9124087,-0.3188764,1.7846363,0.32822758,3.0
0.5182413,1.1508654,0.026177585,-1.5320802,-0.9622028,-2.1525428,-2.1951587,-0.47337323,5.0
-0.05557081,-0.82741904,-3.1986542,1.3544195,-2.0411458,-0.059080213,-1.1236398,-0.4077564,5.0
0.84655297,-0.21698055,-1.3805028,3.5925174,-0.8117478,1.8209423,0.9781284,0.4134171,6.0
2.5355692,-0.59332776,-0.6462878,-1.1454542,0.49592873,-1.7193068,-1.079753,-0.8613104,0.0
2.2580893,3.3569083,-1.6998715,2.4951162,0.23865314,0.5024744,-3.001195,0.5471012,4.0
-3.7690916,-1.6452358,-0.18598872,0.6083729,-2.0973356,0.26349935,0.11280105,-0.5664796,1.0
0.83395654,4.1837354,-0.76263654,0.14661536,0.28052306,-0.63529205,-1.4202898,0.62541264,9.0
-2.2642136,0.118923604,0.8030964,0.28304267,-2.570469,-0.218593,-1.3815175,0.08287148,5.0
0.42685673,2.053825,-3.4717531,1.1221788,-1.4109151,-0.6773367,0.12620455,2.6283736,7.0
1.1343298,0.3322938,3.6503806,0.09546983,0.7682782,0.6610979,0.44378075,-1.7593471,8.0
-1.5752978,1.30577,-1.366538,0.90473026,-0.281508,-0.58406377,-1.0004427,-0.9233164,9.0
-1.1982595,-0.9569532,1.0495152,-0.23914929,1.0196394,0.8357285,-0.1685428,1.018982,3.0
-0.34765935,2.146516,1.481695,-0.107403085,0.6348815,2.3435752,0.40039065,0.45952666,7.0
-2.2733517,0.5347105,-1.0288076,-0.31461668,0.066867284,-1.8157117,-1.7789886,0.64550424,4.0
0.39214182,0.1922544,0.29569483,2.365515,-1.3134038,1.0225856,0.7322931,1.1896194,6.0
-0.19362137,2.7459967,-0.04711044,1.9226886,-0.22028007,1.5765008,-2.1923018,1.0176412,4.0
0.24115473,-1.8358285,-3.1174698,-2.5100117,3.4444988,-1.087004,0.6482455,1.2857411,3.0
2.6838202,-0.37119436,-0.0974915,1.1975493,-3.706262,1.2594675,1.6158499,-1.2400162,0.0
-0.23826694,2.6894913,-0.63882846,-0.9851259,-2.3314989,-0.17293358,1.6909097,2.404706,7.0
6.920714,-2.0339112,-1.2460093,1.0261091,-2.84793,2.0606828,0.5704718,-2.3842168,0.0
1.9600073,-2.4554214,0.37359896,1.1196619,-1.4392407,0.4127956,-0.24540088,2.252402,2.0
-1.4980667,-0.5827923,2.300013,-1.996546,1.678278,2.27063,0.8971318,-0.14583932,9.0
-3.4830809,-0.98541284,0.33901125,-0.340552,-1.4195547,-1.5179801,1.7034688,-1.4841202,1.0
-2.6454175,2.0096714,-0.14331616,-0.38987237,0.02428113,0.21452758,0.8653651,0.7512276,7.0
-0.9013057,-2.5486376,-2.8253205,-0.5566414,-0.79529434,-1.7096571,-1.092426,1.1238674,3.0
-1.6805884,1.3513914,-0.70502096,1.5404483,-1.1688187,1.4685193,1.7157803,0.67019296,2.0
-3.0784066,-0.23529863,0.7318026,-1.605527,0.43850595,0.35611808,0.009734213,-0.4514598,9.0
0.31321946,2.709837,2.5095458,-2.6426435,0.05403957,3.0467782,2.8716977,1.3914814,7.0
-0.52454734,3.0152223,-2.18202,-0.101833105,-0.59048474,-1.4521412,-0.6518189,1.1598008,7.0
1.6343205,0.78909695,0.33821768,1.6143994,1.1462687,-3.0969574,1.5732529,-0.88577306,6.0
1.2345676,-1.7131492,2.1497717,3.2671058,2.7669315,2.7889001,0.26908255,2.1719933,2.0
-0.7262589,3.3007073,-2.5832167,0.067870885,-1.0756172,0.49120763,-0.21350366,1.7338929,7.0
-0.2191193,0.37218562,-1.2585251,0.25685138,0.81546396,1.2370254,-1.6436452,-2.0547502,8.0
2.0403323,3.0805492,-1.9036487,0.37655443,2.5543303,0.60900533,-3.2315068,1.4218028,4.0
-2.45881,2.0903008,0.45218027,-1.5587912,0.40000087,2.2863784,3.3129044,0.042045385,7.0
1.0869958,-0.24441731,-3.0029101,-0.49318123,-0.42699587,-3.5210907,0.6606928,0.51033777,3.0
1.3407961,2.0588353,-0.1887096,3.8204346,0.16060041,-0.61460686,1.203956,-0.8731531,6.0
-3.9233515,-2.2719972,1.0820285,0.3730131,-0.50948215,0.95609695,0.68797946,-0.2830032,1.0
0.8825744,-2.5545151,-2.7287943,-1.8273242,0.08067987,0.2917956,-1.0834146,1.3953688,3.0
-0.29647774,0.29629278,0.8750691,2.3405428,1.411011,-3.046665,-0.31525025,-0.98988986,6.0
-2.2848272,0.41372216,1.5241802,0.08062476,-0.5720086,0.6980561,-1.6338527,-0.860948,9.0
0.5119585,-1.4533615,-1.7620527,-4.037885,2.0714235,-1.4422661,2.4626505,2.1827805,3.0
-2.6775057,-0.798796,-0.49841172,0.0015778393,0.7293642,-2.1688209,2.1137455,-1.3576528,1.0
1.3682007,2.5946918,1.0789666,0.39697975,2.4811294,0.24435794,-0.038219273,-0.82847613,4.0
-2.555192,0.19163978,-1.4520812,0.47984242,-1.3556229,-1.5255729,-0.29351136,-0.2733356,1.0
-2.1447523,0.18659705,-0.4187673,-0.7853004,0.85296154,-0.36388618,2.5744026,-0.8063352,7.0
1.3496985,-0.4953893,0.3101953,2.2968986,-0.5684873,-1.8935058,0.21790516,-1.5126595,6.0
0.75905585,3.3510165,-2.4218888,1.6010846,2.0958138,1.2398223,-0.3357247,0.11838372,9.0
-0.667391,0.45830378,-0.6308708,2.8386197,-1.0471786,0.10520691,-0.040838107,-1.016587,6.0
3.4168003,-0.6316481,-1.318575,-0.344671,-2.829957,0.7723931,-0.9567253,-3.2965207,0.0
0.7835748,1.1308192,-2.7383144,-2.2645795,-0.96328133,-0.32967478,-0.8404946,-0.79913664,5.0
1.0921135,2.949449,-0.8812722,2.346067,-0.049895965,1.5191303,-3.1590784,1.5523655,4.0
0.29797453,1.1625795,-3.110806,2.8316753,-0.825128,0.6606848,-0.8602592,-0.5989152,9.0
-0.16006123,3.6276555,-1.2173446,1.0166614,0.13896649,0.5316185,-1.3945262,-0.22785443,9.0
2.754046,-1.6033891,0.8174435,2.2868843,-0.9576137,0.47345096,-1.0139794,1.7873794,2.0
-3.0582423,-2.5837245,0.30299896,0.5840698,-0.9972958,0.5427526,-1.2367601,0.35776725,1.0
-0.32091403,2.0855775,-2.895688,-0.90278864,0.75343907,-1.6135554,-0.54569185,-0.06719576,9.0
-0.44202918,2.7764359,0.38517433,1.0360203,0.34591112,-0.5120652,-0.51575565,-0.5685828,4.0
-0.14320147,-2.2177486,1.0431926,-2.1078362,1.6340085,-0.07978505,-1.3100501,0.79493773,8.0
-3.5137248,-0.97841865,-0.26959914,-0.4748507,-0.106728315,1.2230403,1.9576766,-1.5343257,7.0
-1.751018,-1.1603223,-1.4218242,-1.4610014,-0.90974164,-2.2237687,0.4596947,0.6025653,3.0
-1.1721257,3.3779945,-1.1539553,0.23929244,1.4878588,0.12932402,-0.5857278,-0.7787778,9.0
-2.7347603,1.3621937,-0.08551794,0.727503,0.18733488,-0.008379549,1.7719839,-0.56852275,7.0
-1.9205893,1.6550909,0.87113124,0.34988433,0.57028484,-1.3330839,0.081990585,-1.621962,4.0
-1.9761198,1.9350321,-1.1662076,0.22787574,0.9369102,-0.49319214,-1.5404348,-0.34735623,4.0
0.51921165,2.6229615,-0.097408056,2.8427238,0.38904062,0.43658343,-3.630729,0.51922274,4.0
-1.4133172,2.6499045,0.35959527,-0.27261746,-0.08540205,-0.5104291,-0.52294016,-0.9266009,9.0
1.2487838,1.5442626,0.6272278,0.6520766,0.7132812,1.968629,2.0877364,-0.33019224,2.0
2.8061695,-1.1074128,-3.887299,-1.8930433,1.8592098,-0.5336143,-0.7442291,-0.48237574,5.0
-0.38424137,1.7337439,1.9661136,1.40752,-0.453083,-1.1603866,0.21922293,-1.2182528,4.0
-2.00115,1.6408052,-2.311075,0.39979592,-1.2047145,-0.6056138,-0.0027691126,1.3151152,7.0
0.5717012,0.6212132,0.93454593,2.0273325,1.1228979,-2.2194486,0.64247423,-0.6374342,6.0
-1.0900669,2.6557415,-0.27017754,-0.799075,-0.581193,-0.2073558,0.21325856,1.2161013,7.0
-1.3588657,1.209295,-1.2665017,1.1997529,0.8540103,-0.65389335,-1.048626,-0.94669974,9.0
2.26905,-1.4283049,-2.797049,1.6909063,-2.8868337,2.2056756,1.5284169,0.9574315,0.0
0.25871482,1.4558167,-0.313856,-3.0051155,-0.7608181,-0.80372053,-1.437119,-2.177103,5.0
0.44009593,-0.17004532,-1.869232,-2.1090255,3.484221,2.2363224,-0.24503082,-1.4901963,8.0
0.101883575,0.27984163,-0.32497388,-2.8336859,-0.3529847,-1.3808271,-1.3307514,-1.598897,5.0
2.0547721,0.99881124,2.1537564,1.678021,2.6265316,-3.5566268,1.2932832,-1.4731557,6.0
3.0318913,-0.43542913,3.1013143,1.2597152,2.4801657,-3.1679094,0.7829724,-1.4674248,6.0
3.2250366,-2.1170497,-2.5236843,-1.0370748,1.3813727,-1.5743278,1.0120554,-1.3658456,5.0
0.047900885,2.8751059,0.4711468,0.32874888,2.234527,1.5260806,2.4276676,1.2858417,7.0
-0.38536003,-0.36826178,-0.27424365,-2.252989,1.9709078,0.5371967,-0.6935648,-1.6372087,8.0
-3.6460934,-1.9354444,0.28555143,-0.19636004,-0.856247,-1.229253,2.1454234,-1.1771353,1.0
2.9887779,-0.8206866,-1.2582381,0.20868605,0.06451461,-0.96499455,-0.8282907,-0.6311575,0.0
-3.5747147,-3.251358,1.3150218,-0.0033073425,0.16785154,1.1206625,0.5367826,-0.2928382,1.0
1.9930518,1.0891601,0.51233727,3.3320937,0.24399367,-0.8677783,1.0827928,-1.3981107,6.0
-0.3221832,3.2531836,2.5223548,0.75539833,0.7396498,1.2023461,0.4351701,-2.0292501,4.0
-1.0808414,-0.50995135,0.40845463,1.2248099,-0.5917833,-2.640266,-0.23364508,-0.63099027,6.0
-0.974753,2.5861478,-1.8902202,0.35808814,-1.6049212,0.45511568,-0.6174941,2.761881,7.0
-1.2129104,0.037811726,-3.1356025,0.95135087,0.24080007,1.8303187,-0.09596753,0.6310757,3.0
-3.7299263,-1.8620248,0.22930577,0.879403,-1.9013108,-0.2580616,0.74584734,-0.97931033,1.0
-1.5123779,2.569781,1.3987637,0.0071235495,1.1500844,1.3290292,0.9244036,-0.1953015,7.0
-2.9294922,-0.30657053,-0.49637586,0.4357828,-1.9881583,-1.7334946,0.53472865,-0.81127334,1.0
0.13183227,0.8241732,-0.25044876,-1.387353,2.347425,1.0638185,-0.14800781,-3.321559,8.0
2.5211828,-0.0497697,2.2938333,2.9955523,2.3271875,2.4697309,-1.3519645,1.5687879,2.0
2.941475,-1.2714913,0.00063431263,-0.10114154,-0.9186076,-1.6099118,-0.86382616,-1.0841143,0.0
-1.6126144,-0.52365744,-0.77370715,1.8540728,-0.87506086,-0.71609455,-1.213959,-0.41709605,2.0
0.6259061,2.4696012,-2.1502128,0.9308407,1.65583,-0.21145634,-1.8510243,-0.33931333,9.0
0.23089004,0.8056917,-3.3326046,1.2134455,0.6506325,2.0255015,0.030227154,0.14622128,9.0
-0.79201543,1.118729,1.6345357,-1.349171,-1.5117728,-0.8688693,-1.4515073,-1.8156946,5.0
0.5142473,-1.2860906,-2.3020468,-0.829699,-0.69605875,-0.8152019,-0.77499694,-0.6266917,5.0
-3.4131813,-0.2187568,-0.4200425,0.5249752,-2.003131,-1.1511469,0.7635271,-0.5194895,1.0
0.67289644,0.41199684,1.766516,-2.7364004,0.25045207,-1.3091229,-1.3018566,-0.5746846,5.0
0.5484947,2.122394,-0.20996803,3.4145033,-0.66373116,-1.3474113,0.06326549,0.3039197,6.0
2.5317836,0.24508263,-1.1251338,0.4977455,-0.3755262,-1.8412621,-0.00998652,-1.0607862,0.0
0.54149127,-1.7974399,-2.295989,0.8993261,-1.3076801,-0.96533865,1.633811,1.5006028,3.0
-2.1741474,0.997797,0.16874987,0.558608,-0.7810905,-2.3915384,-0.6373647,-0.13733016,4.0
-1.4768249,2.5082302,-1.6374414,0.51768756,1.9406272,0.6790876,-0.4034229,-0.664094,4.0
2.1831355,-0.42771798,1.9103198,2.7914302,-0.95227087,-2.6340084,-0.28190678,-0.7159116,6.0
2.6382618,-1.017538,-2.2562082,-3.697638,0.7181567,-0.49485153,-1.3046026,-1.7837873,5.0
0.8257468,3.467873,-1.5046737,2.0244057,1.4019115,1.3630265,-2.6853287,2.3226469,4.0
-0.56525826,1.5098647,0.61094767,2.464922,0.5617618,-0.18901747,0.55761003,-0.67291987,6.0
2.5548017,-2.7129502,-3.9602475,0.6672593,0.30491802,-0.47840816,0.21557982,-0.8864913,5.0
-0.14306474,1.871646,0.31234664,0.8242315,1.1688094,-0.8317277,-1.2936887,0.4411185,4.0
-1.6022227,0.016658425,0.91160876,0.99791867,-1.1715863,-0.8402045,-1.0914562,2.0611315,5.0
-3.086007,-1.0296488,-0.117661655,0.28569984,-1.6496507,-1.9105515,1.6431193,-1.0548004,1.0
-0.8601613,2.1857433,-2.133191,-0.18701217,0.92221683,-0.95510775,-1.7564666,1.0088322,4.0
-1.1519423,2.173616,-1.4013432,0.49164796,0.65898764,-0.4419894,-2.409093,-0.36895022,4.0
-0.7685853,0.61540425,2.9641113,-1.0299683,1.5298077,3.2720776,2.1482716,0.80709815,7.0
1.238621,-4.7533383,-1.2135086,-0.4923158,0.15784045,1.2172725,-1.6775277,0.90650904,2.0
-0.1696005,-1.9387043,-2.4495804,0.20025057,-1.8969475,-0.334879,-0.68704325,0.40921348,3.0
-0.88026917,-1.3149853,0.4100063,1.8041669,1.4949443,1.4997158,1.0907586,0.44676903,2.0
-3.1656554,-0.34277123,-1.0724014,0.54230213,-2.0966673,0.23161736,-0.050503567,-0.6372808,7.0
-3.4494865,-0.9453347,-0.05589947,0.9965277,-2.722364,-0.8722713,0.060911454,-0.6556474,1.0
-0.22559385,-0.33694294,-0.99581254,-0.59829426,2.6635108,-0.30583382,-0.990471,-1.5660012,8.0
-3.7321415,-1.3299301,-0.0099916905,0.15324318,-1.7715836,-0.9957656,1.502013,-0.7595577,1.0
0.19995773,-2.6535287,-1.9816563,-0.9046205,2.6671836,0.8186287,0.68405735,-1.4789048,8.0
-3.6924188,-0.8610411,-0.5828682,-0.012963142,-1.9062037,-0.9341845,1.0784819,-0.8738199,1.0
0.15210578,-2.1484544,-2.153895,0.68868107,3.1887321,-0.09550902,0.1532979,-0.9321821,8.0
-1.2295918,0.20565271,-0.5798427,-1.617244,-0.94672734,-2.0800803,-0.9855701,-1.2951214,5.0
5.251975,-2.2460456,-0.9745781,0.9065567,-3.9427416,1.6688762,0.030488119,-0.32619113,0.0
-0.22045851,-1.8637922,-0.36943734,-0.36707997,1.711264,-0.5436375,-1.432498,1.7687678,8.0
0.0703302,2.9815712,0.5660087,0.6562731,1.1451663,-0.9568116,-0.54160595,-0.8172426,9.0
0.69805133,-5.100812,-1.6017416,0.38085413,2.975774,1.624717,2.623375,-0.37220898,2.0
1.2172706,-1.7903439,-3.6211696,-1.3645909,0.812244,0.28512123,-1.2095641,-1.6263313,5.0
4.7715583,-0.91816163,0.2606037,-2.5018513,-2.4708142,-0.7313608,-0.26869667,-2.0319128,0.0
-2.651273,-0.12507826,-1.1460706,0.94950587,-1.9818407,-1.4723485,-0.51142013,-0.19369157,1.0
-3.7988203,-1.8354179,1.0897965,-0.45818803,0.77023196,2.0090256,1.0452709,-0.02405645,1.0
-2.4157817,0.16656184,-1.2780267,0.5222719,-1.1959938,-1.6762911,-0.075244844,-0.21406263,1.0
2.513274,-0.87597334,3.7626224,-1.2263188,-3.0604799,-1.3590455,-1.8393383,1.2680525,0.0
-1.0093491,1.3744664,-3.4575646,1.1299732,0.41020414,-0.49931228,-0.7544671,1.0825794,9.0
4.2656364,-0.38275877,-2.01749,-1.067069,-1.2220447,-0.10300544,-0.39262962,-1.1194346,0.0
-2.3210108,-0.1274963,-1.5120192,1.8279021,-1.4980944,-0.6457686,-1.3715255,0.11853663,3.0
-3.4670925,-1.7883738,0.846033,-0.17719893,-0.48306563,-1.6596532,2.2565362,-1.5144461,1.0
-0.2968825,-0.60574347,3.49471,0.3209025,2.4092908,-3.3024504,0.3709159,-0.3582673,6.0
-0.90071046,3.0190556,-1.1553221,-0.27208573,1.265665,-0.5036826,-1.8264934,-0.17183991,4.0
1.4066619,-1.8186541,1.9984248,-0.26703843,3.7353234,2.760355,1.9060023,0.8766813,2.0
4.1314416,-3.2522192,-0.102211714,-1.6292553,4.493363,-0.3459379,1.7870369,2.58082,3.0
2.637322,0.7194428,0.31722045,4.503393,-1.552098,1.1574984,2.5151613,-0.21014273,6.0
-3.5089862,-2.1341221,0.13981295,0.73318636,-0.9181809,1.6584992,-1.2378874,-0.13596664,1.0
-3.3167863,-0.51112473,-0.6033647,0.49174747,-2.4983227,-1.3694954,0.11196205,-0.5721299,1.0
-3.7322073,-1.5985304,0.17467779,0.8551936,-2.0874357,0.38576996,0.032363802,-0.31745034,1.0
-1.4533826,-1.4031768,-2.9594772,0.11088039,-0.99436677,-2.0754547,-0.8276644,1.1004916,3.0
-0.53607124,2.7143278,-1.2631053,-2.3444467,1.190016,-1.0492085,0.49612373,-1.4810321,9.0
1.1082503,-0.8527653,-3.298393,0.73876315,-0.75982475,-0.773816,0.0012854189,-0.59087765,5.0
-0.22388105,-1.2568636,1.7220702,3.499637,1.5923487,1.6203101,-0.3257044,0.77059364,2.0
0.17745048,2.0658891,-2.3779438,-0.37982976,0.8078181,-2.0020814,-0.7872727,0.15923004,9.0
0.32123706,2.623126,-1.762975,1.7601786,-1.5154506,0.3044797,-2.5422456,1.774454,4.0
-1.5067258,0.82319,0.736219,-1.3729831,-1.987436,-0.21673104,-1.2611424,-0.7784323,5.0
0.38761854,2.1036406,-3.270688,1.8420265,0.5359417,-0.19408935,-0.87518346,0.9588779,9.0
-3.1000366,-0.7107735,-1.0606581,-0.696854,-0.5664041,0.0072761774,0.7651664,0.29107234,3.0
-0.24300382,3.4139488,-2.1136978,-1.382305,2.8005414,-0.945987,0.19271412,-0.6193756,9.0
3.4570665,0.9710578,0.34434313,-1.2554076,1.1422402,-0.09131452,0.35215482,0.9690462,0.0
-0.8727613,-2.1788504,-1.8369405,-1.3521829,1.5907098,0.20284638,-0.4559005,1.6063777,3.0
-0.892985,-1.2536433,2.4939137,-1.323834,0.09160918,-1.4341183,-0.9112216,0.38189888,6.0
-1.6594133,1.0708753,1.1223419,-1.67709,-2.0259528,-0.20602676,0.25652787,-0.88436365,5.0
0.5772804,-1.2672861,0.29056782,-2.450947,-1.9152477,-1.8348575,-1.2202672,1.376194,5.0
0.67192966,4.0787134,-3.2092485,-0.59168446,-0.725239,-0.44893575,1.0062726,1.1580272,7.0
1.8226886,-0.91661006,-1.4278638,1.6984065,1.882529,-0.1882256,0.374187,1.7040848,2.0
4.4696856,0.913306,1.0285444,0.18932784,3.5358455,1.7295288,2.8604784,0.23106751,2.0
-1.381242,3.0172074,0.6255438,-1.3738812,-0.6691938,1.8358654,2.9214318,1.0100328,7.0
-3.3651643,-1.3658011,-0.25294575,1.3955071,-2.2661765,0.57804257,-1.383247,-0.12834674,1.0
0.35502702,-2.0240676,-0.17371508,0.61234075,-0.6942086,2.576089,-0.89946496,0.5670604,2.0
-0.033130616,0.20890766,-2.3233063,-1.216063,2.7439873,0.46488187,1.671725,-0.53594124,8.0
-1.9946182,1.4391425,-0.036054738,0.8780643,-0.14956799,-1.3441159,-1.1797748,-0.034682263,4.0
-3.5842729,-2.4866867,0.32706705,0.80386865,-1.5708445,0.62927616,-0.29904187,-0.28248724,1.0
-2.7062273,1.6707919,-0.9629971,-0.4798346,-1.7746489,0.49647808,1.1193722,0.10059233,7.0
-0.30223453,-2.0209584,0.6251723,-0.4573393,-0.827707,-1.7598937,1.4965703,2.6770284,3.0
-1.6408743,-2.310167,-1.1263418,-0.9251208,-1.3448694,-0.13841435,-0.44247866,1.1315237,3.0
0.61039925,-1.8536394,-1.9419396,0.904126,3.0943816,-0.95139205,-0.051813304,-1.3421139,8.0
0.06819682,2.9066238,-1.0230508,-2.6288393,0.9907081,1.3031865,2.3808935,-0.90413976,8.0
-2.2353258,0.7068188,-1.6773288,-1.012748,-0.65146077,0.629396,1.320562,-0.2377882,7.0
-0.35690224,3.0094235,-1.3236926,1.1947212,-0.87021977,0.051789433,-0.38313156,0.95858586,9.0
-1.2146239,-0.2053769,-0.8488805,1.4078903,1.0162308,0.43413493,3.1242542,1.7197452,2.0
-1.8900276,-1.3620032,1.3734032,2.8630707,1.0123566,1.420737,0.0018019676,0.46946782,2.0
0.051883727,3.5313454,-0.40434653,1.077857,1.5274864,0.6395229,-2.126849,0.29572254,4.0
-3.5159593,-0.6443427,-0.27087545,0.26491034,-2.1025884,-1.5949214,1.0766524,-0.49153024,1.0
0.82962346,-2.2005389,-2.7120318,-1.3569564,0.6788286,-1.7207551,-0.5536519,-1.4240594,5.0
1.7202312,0.41346368,-3.5107722,0.64955163,1.7867035,1.1143241,-0.97450465,0.1084595,9.0
1.3270284,0.36224508,3.8976438,-1.4350662,1.6928712,0.72307515,-0.68766475,-1.6335866,8.0
-1.7522194,1.7720108,-1.5633911,0.88354903,-0.17571056,-0.9459404,-0.22320452,0.27934358,7.0
-2.2517972,-1.0974256,-0.113194704,1.1410326,-0.8348559,0.03867361,1.2015492,0.49207443,2.0
-0.14451516,-0.75561905,-0.7663404,1.2024059,-1.9824175,-2.0508466,0.5481014,0.06592518,3.0
3.8533642,-1.9805322,-2.2905114,2.3215318,-2.7627141,3.423523,1.6024946,-0.4602731,0.0
-1.4496558,0.29651675,1.7830408,1.6776845,1.0597824,-1.1474552,-0.746717,1.6324747,4.0
2.0676095,4.451619,-0.60713995,1.4791626,1.452322,1.8649919,-1.8124764,0.6695023,4.0
-1.9640703,-2.7382941,1.1022252,1.8970172,0.19580391,0.9673121,0.0841538,0.37070516,2.0
